quarter,region,house_type,avg_sqm_price_real,n_transactions,cumulative_max,drawdown_pct
2002Q4,Jutland,Summerhouse,13048.3,249,14481.5,-9.9
2003Q1,Jutland,Summerhouse,13039.1,301,14481.5,-9.96
2003Q2,Jutland,Summerhouse,13826.8,521,14481.5,-4.52
2003Q3,Jutland,Summerhouse,13633.6,465,14481.5,-5.86
2003Q4,Jutland,Summerhouse,14436.2,429,14481.5,-0.31
2004Q1,Jutland,Summerhouse,14835.2,477,14835.2,0.0
2004Q2,Jutland,Summerhouse,16148.9,626,16148.9,0.0
2004Q3,Jutland,Summerhouse,16640.5,293,16640.5,0.0
2004Q4,Jutland,Summerhouse,17628.8,363,17628.8,0.0
2005Q1,Jutland,Summerhouse,16914.8,406,17628.8,-4.05
2005Q2,Jutland,Summerhouse,18281.5,676,18281.5,0.0
2005Q3,Jutland,Summerhouse,19546.8,499,19546.8,0.0
2005Q4,Jutland,Summerhouse,19570.5,386,19570.5,0.0
2006Q1,Jutland,Summerhouse,19519.5,371,19570.5,-0.26
2006Q2,Jutland,Summerhouse,20612.2,537,20612.2,0.0
2006Q3,Jutland,Summerhouse,20576.0,476,20612.2,-0.18
2006Q4,Jutland,Summerhouse,20534.7,301,20612.2,-0.38
2007Q1,Jutland,Summerhouse,24304.4,452,24304.4,0.0
2007Q2,Jutland,Summerhouse,22746.8,577,24304.4,-6.41
2007Q3,Jutland,Summerhouse,21971.8,449,24304.4,-9.6
2007Q4,Jutland,Summerhouse,21694.3,328,24304.4,-10.74
2008Q1,Jutland,Summerhouse,21951.9,317,24304.4,-9.68
2008Q2,Jutland,Summerhouse,21766.0,436,24304.4,-10.44
2008Q3,Jutland,Summerhouse,21679.5,317,24304.4,-10.8
2008Q4,Jutland,Summerhouse,20207.6,186,24304.4,-16.86
2009Q1,Jutland,Summerhouse,18421.2,181,24304.4,-24.21
2009Q2,Jutland,Summerhouse,19032.4,353,24304.4,-21.69
2009Q3,Jutland,Summerhouse,20375.2,359,24304.4,-16.17
2009Q4,Jutland,Summerhouse,18983.9,345,24304.4,-21.89
2010Q1,Jutland,Summerhouse,17416.0,263,24304.4,-28.34
2010Q2,Jutland,Summerhouse,19340.2,518,24304.4,-20.43
2010Q3,Jutland,Summerhouse,19183.7,452,24304.4,-21.07
2010Q4,Jutland,Summerhouse,18070.8,407,24304.4,-25.65
2011Q1,Jutland,Summerhouse,17884.2,300,24304.4,-26.42
2011Q2,Jutland,Summerhouse,17524.6,404,24304.4,-27.9
2011Q3,Jutland,Summerhouse,17470.8,392,24304.4,-28.12
2011Q4,Jutland,Summerhouse,17516.7,282,24304.4,-27.93
2012Q1,Jutland,Summerhouse,16937.1,286,24304.4,-30.31
2012Q2,Jutland,Summerhouse,15656.9,557,24304.4,-35.58
2012Q3,Jutland,Summerhouse,17392.0,436,24304.4,-28.44
2012Q4,Jutland,Summerhouse,16037.9,315,24304.4,-34.01
2013Q1,Jutland,Summerhouse,16327.1,282,24304.4,-32.82
2013Q2,Jutland,Summerhouse,17014.6,565,24304.4,-29.99
2013Q3,Jutland,Summerhouse,16309.4,484,24304.4,-32.9
2013Q4,Jutland,Summerhouse,16620.4,339,24304.4,-31.62
2014Q1,Jutland,Summerhouse,16762.2,270,24304.4,-31.03
2014Q2,Jutland,Summerhouse,16582.6,527,24304.4,-31.77
2014Q3,Jutland,Summerhouse,16501.6,522,24304.4,-32.1
2014Q4,Jutland,Summerhouse,16088.3,381,24304.4,-33.8
2015Q1,Jutland,Summerhouse,16187.6,418,24304.4,-33.4
2015Q2,Jutland,Summerhouse,16699.6,593,24304.4,-31.29
2015Q3,Jutland,Summerhouse,16570.6,571,24304.4,-31.82
2015Q4,Jutland,Summerhouse,16471.8,430,24304.4,-32.23
2016Q1,Jutland,Summerhouse,15912.2,426,24304.4,-34.53
2016Q2,Jutland,Summerhouse,17015.0,768,24304.4,-29.99
