zip_code,city,region,n_years,price_level,cagr_real,volatility,max_drawdown,liquidity_log,growth_recent,pca1,pca2,tsne1,tsne2,cluster,cluster_label
4100,Ringsted,Zealand,33,20052.7,0.0214,0.1988,-42.9653,5.4034,-0.1313,1.1639,-1.3554,3.0134,11.8529,0,Precio alto / dinamico / estable
4130,Viby Sjælland,Zealand,33,21732.6,0.0222,0.1266,-47.9199,3.7355,-0.0552,0.7258,-0.0698,18.5133,-10.9287,0,Precio alto / dinamico / estable
4140,Borup,Zealand,33,22420.6,0.0256,0.284,-54.6501,3.7491,0.2645,0.5816,1.5329,5.2565,-15.6749,0,Precio alto / dinamico / estable
4160,Herlufmagle,Zealand,33,12164.9,0.0141,0.1975,-48.2279,3.5396,-0.1183,-0.3406,-0.4606,-7.2828,-3.8029,1,Precio bajo / plano / volatil
4171,Glumsø,Zealand,33,13245.4,0.0115,0.2297,-45.5955,3.3547,0.0624,-0.2637,0.2256,-7.8113,-8.4851,1,Precio bajo / plano / volatil
4173,Fjenneslev,Zealand,33,13356.5,0.0125,0.3772,-61.4172,2.8665,0.1859,-1.2126,1.4254,-11.4528,-14.8319,1,Precio bajo / plano / volatil
4180,Sorø,Zealand,33,21654.6,0.0194,0.4377,-67.469,4.6858,0.1214,-0.3321,0.5859,3.8538,-4.4179,1,Precio bajo / plano / volatil
4200,Slagelse,Zealand,33,18102.5,-0.0031,0.4331,-70.0648,5.8078,-0.0429,-1.1902,-1.5569,-5.5273,19.7411,1,Precio bajo / plano / volatil
4220,Korsør,Zealand,33,13921.1,0.0111,0.221,-48.4699,4.8416,-0.169,-0.0148,-1.4991,-3.3077,10.4262,1,Precio bajo / plano / volatil
4230,Skælskør,Zealand,33,14239.2,0.017,0.2366,-49.8098,4.1645,-0.0478,0.0101,-0.3798,-3.6533,-0.8315,1,Precio bajo / plano / volatil
4241,Vemmelev,Zealand,33,11789.3,0.0068,0.2114,-52.3072,3.318,-0.1523,-0.9358,-0.6627,-10.3695,-1.9074,1,Precio bajo / plano / volatil
4243,Rude,Zealand,33,16685.6,0.022,0.2005,-50.4722,2.8279,0.1581,0.0928,1.3471,-4.0956,-17.0183,0,Precio alto / dinamico / estable
4250,Fuglebjerg,Zealand,33,11757.1,0.0087,0.3216,-59.7269,3.3472,0.0207,-1.2224,0.2736,-12.6742,-7.5278,1,Precio bajo / plano / volatil
4261,Dalmose,Zealand,33,9100.3,0.0097,0.3455,-73.3008,2.8456,0.0633,-2.0037,0.957,-17.5304,-11.0563,1,Precio bajo / plano / volatil
4262,Sandved,Zealand,33,10533.8,0.0083,0.334,-60.2881,2.7745,-0.3894,-1.952,-0.8782,-17.7819,4.4702,1,Precio bajo / plano / volatil
4270,Høng,Zealand,33,14913.4,0.0235,0.1816,-43.755,3.8013,-0.1244,0.4382,-0.3369,-3.0991,-3.5449,0,Precio alto / dinamico / estable
4281,Gørlev,Zealand,33,14531.9,0.0106,0.1677,-55.4086,4.1009,-0.0362,-0.2699,-0.57,-4.0143,0.9253,1,Precio bajo / plano / volatil
4291,Ruds Vedby,Zealand,33,13101.1,0.0096,0.256,-55.0072,3.0827,-0.3323,-1.2377,-0.9548,-15.8292,3.9443,1,Precio bajo / plano / volatil
4293,Dianalund,Zealand,33,11725.1,0.0159,0.2383,-55.238,3.7406,-0.0602,-0.5163,-0.1567,-6.4191,-1.8756,1,Precio bajo / plano / volatil
4295,Stenlille,Zealand,33,13906.4,0.0051,0.3513,-60.9254,3.3961,-0.1948,-1.5684,-0.5979,-15.2166,0.0458,1,Precio bajo / plano / volatil
4300,Holbæk,Zealand,33,23228.4,0.0162,0.1717,-51.22,5.4556,0.0766,1.0955,-0.7449,9.2068,11.3799,0,Precio alto / dinamico / estable
4305,Orø,Zealand,33,16165.7,0.0268,0.2025,-51.1856,3.2499,0.0362,0.2543,0.8405,-0.8203,-16.3798,0,Precio alto / dinamico / estable
4320,Lejre,Zealand,33,24308.2,0.0223,0.2176,-44.7374,3.8862,0.1193,0.9736,0.5888,19.9451,-7.3766,0,Precio alto / dinamico / estable
4330,Hvalsø,Zealand,33,24161.4,0.026,0.1712,-52.7242,3.8174,-0.0336,0.753,0.2531,18.2571,-11.7972,0,Precio alto / dinamico / estable
4340,Tølløse,Zealand,33,16331.9,0.0223,0.2519,-59.5774,3.89,0.0601,-0.0778,0.5476,-1.0629,-12.1308,1,Precio bajo / plano / volatil
4370,Store Merløse,Zealand,33,14633.1,0.0185,0.4249,-69.3611,2.8734,-0.3666,-1.872,-0.1702,-20.1567,-0.414,1,Precio bajo / plano / volatil
4390,Vipperød,Zealand,33,17151.0,0.0263,0.1626,-42.4688,3.3631,0.0006,0.7035,0.4629,-1.1646,-18.3284,0,Precio alto / dinamico / estable
4400,Kalundborg,Zealand,33,17014.7,0.0199,0.1593,-42.0957,5.2821,0.1372,1.3124,-0.4601,12.3881,8.0483,0,Precio alto / dinamico / estable
