zip_code,city,region,n_years,growth_recent,liquidity_log,price_level,max_drawdown,R,F,M,RFM_score,RFM_code,rfm_segmento
4632,Bjæverskov,Zealand,33,0.1881,3.679,20474.8,-56.5485,5,2,4,11,524,Intermedio
4640,Faxe,Zealand,33,0.0753,3.8411,12860.8,-57.0522,4,3,2,9,432,"Emergente (momentum, ticket medio-bajo)"
4652,Hårlev,Zealand,33,-0.1839,3.7548,16236.3,-55.441,1,3,3,7,133,Intermedio
4653,Karise,Zealand,33,0.0708,3.3798,18808.0,-50.4372,4,2,4,10,424,Intermedio
4654,Faxe Ladeplads,Zealand,33,0.0248,3.6191,16449.5,-59.498,4,2,3,9,423,"Emergente (momentum, ticket medio-bajo)"
4660,Store Heddinge,Zealand,33,-0.0115,3.9634,16659.5,-54.6272,3,3,3,9,333,Intermedio
4671,Strøby,Zealand,33,-0.0582,3.4572,24218.0,-47.1026,2,2,4,8,224,"Premium frio (caro, sin momentum)"
4673,Rødvig Stevns,Zealand,33,0.2578,3.4901,16913.9,-56.2234,5,2,3,10,523,"Emergente (momentum, ticket medio-bajo)"
4681,Herfølge,Zealand,33,0.0837,3.551,23216.8,-42.9051,4,2,4,10,424,Intermedio
4682,Tureby,Zealand,33,-0.2228,2.7745,17043.9,-64.8852,1,1,3,5,113,"Periferico dormido (iliquido, frio)"
4683,Rønnede,Zealand,33,-0.1588,3.3536,14683.0,-55.1001,1,2,3,6,123,"Periferico dormido (iliquido, frio)"
4684,Holmegaard,Zealand,33,-0.2135,4.0237,16057.9,-32.6315,1,3,3,7,133,Intermedio
4690,Haslev,Zealand,33,0.105,4.9543,17669.0,-45.6285,5,5,4,14,554,Champions (premium caliente-liquido)
4700,Næstved,Zealand,33,0.0228,5.8703,17592.3,-68.9711,4,5,4,13,454,Champions (premium caliente-liquido)
4720,Præstø,Zealand,33,-0.1812,4.2809,16383.8,-57.7372,1,4,3,8,143,Intermedio
4733,Tappernøje,Zealand,33,-0.0939,3.2891,11700.8,-50.8008,2,1,2,5,212,"Periferico dormido (iliquido, frio)"
4735,Mern,Zealand,33,-0.1873,2.8819,10685.1,-57.3945,1,1,1,3,111,"Periferico dormido (iliquido, frio)"
4736,Karrebæksminde,Zealand,33,0.2468,4.1039,25878.4,-52.4523,5,3,5,13,535,Intermedio
4750,Lundby,Zealand,33,-0.0896,3.5138,11994.1,-59.3402,2,2,2,6,222,"Periferico dormido (iliquido, frio)"
4760,Vordingborg,Zealand,33,-0.108,4.9483,15092.4,-44.3803,2,5,3,10,253,Intermedio
4771,Kalvehave,Zealand,33,-0.0928,2.8526,11154.5,-70.1143,2,1,2,5,212,"Periferico dormido (iliquido, frio)"
4780,Stege,Zealand,33,-0.0287,4.5022,16562.7,-54.0329,3,4,3,10,343,Intermedio
4792,Askeby,Zealand,33,0.5642,2.9364,16424.6,-49.7569,5,1,3,9,513,"Emergente (momentum, ticket medio-bajo)"
4793,Bogø By,Zealand,33,0.1441,3.0018,14026.3,-53.6393,5,1,3,9,513,"Emergente (momentum, ticket medio-bajo)"
4800,Nykøbing F,Zealand,33,-0.0156,5.2711,16491.3,-69.4903,3,5,3,11,353,Intermedio
4840,Nørre Alslev,Zealand,33,-0.0493,3.8489,7338.7,-78.1537,2,3,1,6,231,Intermedio
4850,Stubbekøbing,Zealand,33,-0.0075,3.6628,10911.2,-67.3196,3,2,1,6,321,Intermedio
4863,Eskilstrup,Zealand,33,-0.1475,2.9428,7759.2,-58.2919,2,1,1,4,211,"Periferico dormido (iliquido, frio)"
4872,Idestrup,Zealand,33,0.0101,3.4092,15535.2,-60.7151,3,2,3,8,323,Intermedio
4873,Væggerløse,Zealand,33,0.3056,4.7908,18975.9,-59.6543,5,5,4,14,554,Champions (premium caliente-liquido)
4874,Gedser,Zealand,32,0.1205,3.4899,10626.3,-51.6772,5,2,1,8,521,"Emergente (momentum, ticket medio-bajo)"
4880,Nysted,Zealand,33,-0.2688,3.272,11885.3,-64.9015,1,1,2,4,112,"Periferico dormido (iliquido, frio)"
4900,Nakskov,Zealand,33,-0.2546,4.7428,8700.9,-77.2069,1,5,1,7,151,"Value liquido (barato, accesible)"
4920,Søllested,Zealand,33,-0.1484,2.9634,5057.6,-85.7312,2,1,1,4,211,"Periferico dormido (iliquido, frio)"
4930,Maribo,Zealand,33,-0.2202,4.1919,11369.7,-80.9258,1,3,2,6,132,Intermedio
4960,Holeby,Zealand,33,0.8504,2.7914,5546.1,-92.4502,5,1,1,7,511,"Emergente (momentum, ticket medio-bajo)"
4970,Rødby,Zealand,33,0.1114,4.3606,10504.3,-55.1682,5,4,1,10,541,"Value liquido (barato, accesible)"
4983,Dannemare,Zealand,32,-0.0365,3.1341,11767.0,-57.3638,3,1,2,6,312,Intermedio
4990,Sakskøbing,Zealand,33,-0.28,4.0388,8550.8,-65.665,1,3,1,5,131,Intermedio
5000,Odense C,Fyn & islands,33,-0.0735,5.8088,29052.6,-42.5025,2,5,5,12,255,"Premium frio (caro, sin momentum)"
5200,Odense V,Fyn & islands,33,-0.1583,3.6904,21607.2,-80.8686,1,2,4,7,124,"Premium frio (caro, sin momentum)"
5210,Odense NV,Fyn & islands,33,-0.0125,4.8203,18134.0,-35.162,3,5,4,12,354,Intermedio
5220,Odense SA,Fyn & islands,33,-0.092,4.2661,19507.1,-88.4799,2,4,4,10,244,"Premium frio (caro, sin momentum)"
5230,Odense M,Fyn & islands,33,-0.0211,4.5985,28911.4,-37.2064,3,4,5,12,345,Intermedio
5240,Odense NØ,Fyn & islands,33,-0.1691,3.7471,16251.0,-82.4193,1,3,3,7,133,Intermedio
5250,Odense SV,Fyn & islands,33,0.0645,5.1538,20820.0,-55.472,4,5,4,13,454,Champions (premium caliente-liquido)
5260,Odense S,Fyn & islands,33,-0.0319,4.7263,19093.2,-79.5187,3,4,4,11,344,Intermedio
5270,Odense N,Fyn & islands,33,0.0355,4.9138,16769.0,-34.1493,4,5,3,12,453,"Emergente (momentum, ticket medio-bajo)"
5300,Kerteminde,Fyn & islands,33,0.0512,4.1627,22831.4,-72.2969,4,3,4,11,434,Intermedio
5320,Agedrup,Fyn & islands,33,0.0764,3.2042,14868.9,-56.7846,4,1,3,8,413,"Emergente (momentum, ticket medio-bajo)"
5330,Munkebo,Fyn & islands,33,0.3642,3.5264,14004.9,-29.7395,5,2,3,10,523,"Emergente (momentum, ticket medio-bajo)"
5400,Bogense,Fyn & islands,33,-0.3723,4.2631,16955.5,-52.1365,1,4,3,8,143,Intermedio
5450,Otterup,Fyn & islands,33,0.2054,4.8575,18171.2,-40.4372,5,5,4,14,554,Champions (premium caliente-liquido)
5462,Morud,Fyn & islands,33,0.5607,3.1329,15135.9,-66.956,5,1,3,9,513,"Emergente (momentum, ticket medio-bajo)"
5464,Brenderup Fyn,Fyn & islands,33,0.0939,3.2546,15056.1,-45.9274,4,1,3,8,413,"Emergente (momentum, ticket medio-bajo)"
5466,Asperup,Fyn & islands,33,0.154,3.0138,16154.6,-42.6602,5,1,3,9,513,"Emergente (momentum, ticket medio-bajo)"
5471,Søndersø,Fyn & islands,33,-0.1692,3.999,10081.0,-74.677,1,3,1,5,131,Intermedio
5492,Vissenbjerg,Fyn & islands,33,-0.0884,3.8087,10593.9,-58.0374,2,3,1,6,231,Intermedio
5500,Middelfart,Fyn & islands,33,0.0583,5.23,19953.6,-44.0803,4,5,4,13,454,Champions (premium caliente-liquido)
5540,Ullerslev,Fyn & islands,33,-0.3448,3.6874,10209.4,-57.7034,1,2,1,4,121,"Periferico dormido (iliquido, frio)"
5550,Langeskov,Fyn & islands,33,-0.1088,3.7731,12885.7,-71.1543,2,3,2,7,232,Intermedio
5560,Aarup,Fyn & islands,33,0.2005,3.7534,12449.0,-60.9911,5,3,2,10,532,"Emergente (momentum, ticket medio-bajo)"
5580,Nørre Aaby,Fyn & islands,33,-0.2049,3.4543,13865.2,-55.6763,1,2,3,6,123,"Periferico dormido (iliquido, frio)"
5591,Gelsted,Fyn & islands,33,-0.033,3.0241,10710.6,-54.5742,3,1,1,5,311,Intermedio
5592,Ejby,Fyn & islands,33,-0.5049,3.2534,10939.2,-53.1078,1,1,1,3,111,"Periferico dormido (iliquido, frio)"
5600,Faaborg,Fyn & islands,33,-0.2057,4.9664,14562.3,-59.646,1,5,3,9,153,Intermedio
5610,Assens,Fyn & islands,33,-0.2911,4.3918,13122.2,-59.8328,1,4,2,7,142,"Value liquido (barato, accesible)"
5620,Glamsbjerg,Fyn & islands,33,-0.1343,3.8693,10559.3,-72.7354,2,3,1,6,231,Intermedio
5631,Ebberup,Fyn & islands,33,0.0532,2.938,12937.0,-61.0696,4,1,2,7,412,"Emergente (momentum, ticket medio-bajo)"
