quarter,year,region,avg_sqm_price_real,n_transactions,yield_mortgage_bonds_pct,base_year_price,regional_index
2003Q4,2003,Fyn & islands,15718.2,718,5.1,17024.67935334798,92.33
2004Q1,2004,Fyn & islands,17147.0,824,5.3,17024.67935334798,100.72
2004Q2,2004,Fyn & islands,20327.5,1041,5.3,17024.67935334798,119.4
2004Q3,2004,Fyn & islands,13610.7,539,5.3,17024.67935334798,79.95
2004Q4,2004,Fyn & islands,20920.6,872,5.3,17024.67935334798,122.88
2005Q1,2005,Fyn & islands,13990.4,853,4.4,17024.67935334798,82.18
2005Q2,2005,Fyn & islands,15888.5,1221,4.4,17024.67935334798,93.33
2005Q3,2005,Fyn & islands,19031.6,1017,4.4,17024.67935334798,111.79
2005Q4,2005,Fyn & islands,15943.7,1031,4.4,17024.67935334798,93.65
2006Q1,2006,Fyn & islands,17932.8,938,5.1,17024.67935334798,105.33
2006Q2,2006,Fyn & islands,20144.3,1194,5.1,17024.67935334798,118.32
2006Q3,2006,Fyn & islands,16559.0,924,5.1,17024.67935334798,97.26
2006Q4,2006,Fyn & islands,16974.4,963,5.1,17024.67935334798,99.7
2007Q1,2007,Fyn & islands,18771.9,966,5.7,17024.67935334798,110.26
2007Q2,2007,Fyn & islands,19315.0,1123,5.7,17024.67935334798,113.45
2007Q3,2007,Fyn & islands,18695.5,907,5.7,17024.67935334798,109.81
2007Q4,2007,Fyn & islands,21107.6,961,5.7,17024.67935334798,123.98
2008Q1,2008,Fyn & islands,18781.7,924,6.5,17024.67935334798,110.32
2008Q2,2008,Fyn & islands,18926.8,973,6.5,17024.67935334798,111.17
2008Q3,2008,Fyn & islands,17615.9,675,6.5,17024.67935334798,103.47
2008Q4,2008,Fyn & islands,20018.7,556,6.5,17024.67935334798,117.59
2009Q1,2009,Fyn & islands,17483.2,455,5.5,17024.67935334798,102.69
2009Q2,2009,Fyn & islands,18534.7,623,5.5,17024.67935334798,108.87
2009Q3,2009,Fyn & islands,16885.7,615,5.5,17024.67935334798,99.18
2009Q4,2009,Fyn & islands,16031.0,554,5.5,17024.67935334798,94.16
2010Q1,2010,Fyn & islands,17793.8,703,4.5,17024.67935334798,104.52
2010Q2,2010,Fyn & islands,16776.0,751,4.5,17024.67935334798,98.54
2010Q3,2010,Fyn & islands,15578.7,759,4.5,17024.67935334798,91.51
2010Q4,2010,Fyn & islands,15929.5,802,4.5,17024.67935334798,93.57
2011Q1,2011,Fyn & islands,16760.2,658,4.8,17024.67935334798,98.45
2011Q2,2011,Fyn & islands,14382.0,633,4.8,17024.67935334798,84.48
2011Q3,2011,Fyn & islands,15497.8,616,4.8,17024.67935334798,91.03
2011Q4,2011,Fyn & islands,17975.2,562,4.8,17024.67935334798,105.58
2012Q1,2012,Fyn & islands,14942.3,561,3.7,17024.67935334798,87.77
2012Q2,2012,Fyn & islands,17391.2,758,3.7,17024.67935334798,102.15
2012Q3,2012,Fyn & islands,14736.0,684,3.7,17024.67935334798,86.56
2012Q4,2012,Fyn & islands,14160.7,611,3.7,17024.67935334798,83.18
2013Q1,2013,Fyn & islands,16691.4,596,3.5,17024.67935334798,98.04
2013Q2,2013,Fyn & islands,17525.2,795,3.5,17024.67935334798,102.94
2013Q3,2013,Fyn & islands,15212.5,680,3.5,17024.67935334798,89.36
2013Q4,2013,Fyn & islands,15212.0,670,3.5,17024.67935334798,89.35
2014Q1,2014,Fyn & islands,16700.3,678,3.1,17024.67935334798,98.09
2014Q2,2014,Fyn & islands,17330.0,855,3.1,17024.67935334798,101.79
2014Q3,2014,Fyn & islands,14299.2,844,3.1,17024.67935334798,83.99
2014Q4,2014,Fyn & islands,17943.5,849,3.1,17024.67935334798,105.4
2015Q1,2015,Fyn & islands,15669.6,867,2.8,17024.67935334798,92.04
2015Q2,2015,Fyn & islands,16317.8,1140,2.8,17024.67935334798,95.85
2015Q3,2015,Fyn & islands,16543.0,1058,2.8,17024.67935334798,97.17
2015Q4,2015,Fyn & islands,17838.3,938,2.8,17024.67935334798,104.78
2016Q1,2016,Fyn & islands,16849.6,961,2.6,17024.67935334798,98.97
2016Q2,2016,Fyn & islands,16718.2,1223,2.6,17024.67935334798,98.2
2016Q3,2016,Fyn & islands,16469.8,1177,2.6,17024.67935334798,96.74
2016Q4,2016,Fyn & islands,15652.5,692,2.6,17024.67935334798,91.94
2017Q3,2017,Fyn & islands,16558.9,1299,2.3,17024.67935334798,97.26
2017Q4,2017,Fyn & islands,17054.6,1342,2.3,17024.67935334798,100.18
2018Q1,2018,Fyn & islands,16358.3,1316,2.1,17024.67935334798,96.09
2018Q2,2018,Fyn & islands,16735.3,1588,2.1,17024.67935334798,98.3
2018Q3,2018,Fyn & islands,17775.3,1518,2.1,17024.67935334798,104.41
2018Q4,2018,Fyn & islands,17819.6,1474,2.1,17024.67935334798,104.67
2019Q1,2019,Fyn & islands,17528.7,1454,1.4,17024.67935334798,102.96
2019Q2,2019,Fyn & islands,17493.7,1750,1.4,17024.67935334798,102.75
2019Q3,2019,Fyn & islands,17544.0,1778,1.4,17024.67935334798,103.05
2019Q4,2019,Fyn & islands,17445.0,1506,1.4,17024.67935334798,102.47
2020Q1,2020,Fyn & islands,17104.0,1566,1.1,17024.67935334798,100.47
2020Q2,2020,Fyn & islands,17551.8,1992,1.1,17024.67935334798,103.1
2020Q3,2020,Fyn & islands,17801.0,2097,1.1,17024.67935334798,104.56
2020Q4,2020,Fyn & islands,19004.3,2206,1.1,17024.67935334798,111.63
2021Q1,2021,Fyn & islands,18010.6,2581,1.5,17024.67935334798,105.79
2021Q2,2021,Fyn & islands,18860.8,2707,1.5,17024.67935334798,110.79
2021Q3,2021,Fyn & islands,19168.8,2182,1.5,17024.67935334798,112.59
2021Q4,2021,Fyn & islands,19628.6,1996,1.5,17024.67935334798,115.29
2022Q1,2022,Fyn & islands,17278.1,1944,3.7,17024.67935334798,101.49
2022Q2,2022,Fyn & islands,17882.6,2017,3.7,17024.67935334798,105.04
2022Q3,2022,Fyn & islands,16778.5,1584,3.7,17024.67935334798,98.55
2022Q4,2022,Fyn & islands,15780.7,1160,3.7,17024.67935334798,92.69
2023Q1,2023,Fyn & islands,15973.1,1469,4.8,17024.67935334798,93.82
2023Q2,2023,Fyn & islands,16248.8,1766,4.8,17024.67935334798,95.44
2023Q3,2023,Fyn & islands,16628.8,1351,4.8,17024.67935334798,97.67
2023Q4,2023,Fyn & islands,17098.6,1601,4.8,17024.67935334798,100.43
2024Q1,2024,Fyn & islands,16960.9,1634,4.3,17024.67935334798,99.63
2024Q2,2024,Fyn & islands,17392.8,1914,4.3,17024.67935334798,102.16
2024Q3,2024,Fyn & islands,16758.8,1373,4.3,17024.67935334798,98.44
2024Q4,2024,Fyn & islands,15451.7,73,,17024.67935334798,90.76
